Timestamp,Name,Gender,Job Role,Department,1. I generally feel happy and satisfied during my workday.,"2. I experience positive emotions (enthusiasm, excitement) while performing my tasks.",3. I remain calm and composed even under pressure.,"4.  Negative emotions (stress, frustration) interfere with my work.",5. I usually start my workday with a positive mindset.,1.  I feel energized and enthusiastic about my job.,2.  I am fully absorbed in my work most of the time.,3. I often go beyond what is required in my role.,4.  I find my work meaningful and motivating.,5.  I am committed to giving my best at work.,1. I complete my tasks efficiently within deadlines.,2.  I maintain high quality in my work output.,3.  I actively contribute to achieving team goals.,4.  I am consistent in meeting performance expectations.,5.  My performance has improved over the past few months.,1.  I am aware of my organization’s AI-related policies.,  2.  The BAN AI policy limits how AI tools can be used in my work.,"3. The policy affects my ability to use AI for improving productivity.
",4. I believe the BAN AI policy supports ethical and fair workplace Practices. ,5.  I feel the BAN AI policy impacts how emotions influence my productivity.
2025/10/13 2:32:29 AM GMT+5,Hafsa Abid,Female,Coordinator,3bgqzwfb,Strongly agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Strongly disagree,Neutral,Strongly agree,Agree,Strongly disagree,Disagree,Neutral,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Agree
2025/10/13 2:32:35 AM GMT+5,Zeeshan Khurram,Male,Teacher,cwt8xytw,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Disagree,Strongly agree,Neutral,Strongly disagree,Neutral,Agree,Neutral
2025/10/13 2:32:41 AM GMT+5,Umair Farooq,Female,Teacher,cgqhd3dc,Neutral,Neutral,Strongly disagree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Disagree,Neutral,Neutral,Strongly agree,Strongly disagree,Disagree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree
2025/10/13 2:32:47 AM GMT+5,Zohaib Iqbal,Male,Coordinator,8sizi4f7,Agree,Disagree,Agree,Disagree,Strongly agree,Strongly disagree,Neutral,Neutral,Agree,Strongly agree,Neutral,Disagree,Disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Neutral,Neutral
2025/10/13 2:32:53 AM GMT+5,Muneeb Cheema,Female,Teacher,rfxry9c7,Agree,Agree,Agree,Neutral,Disagree,Agree,Strongly agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Strongly disagree
2025/10/13 2:32:59 AM GMT+5,Ahtisham Idrees,Female,Teacher,uzk5iz94,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Strongly agree,Strongly disagree,Disagree,Disagree,Strongly agree,Disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree
2025/10/13 2:33:05 AM GMT+5,Rayyan Idrees,Male,Coordinator,hsj8owb3,Neutral,Strongly disagree,Strongly disagree,Neutral,Disagree,Disagree,Strongly agree,Agree,Agree,Disagree,Agree,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Agree,Neutral,Agree,Neutral,Neutral
2025/10/13 2:33:11 AM GMT+5,Arif Hassan,Female,Teacher,dfr9tefo,Strongly agree,Strongly agree,Disagree,Neutral,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Strongly agree
2025/10/13 2:33:17 AM GMT+5,Aqsa Abid,Female,Non Teaching Staff,4sg5c5rr,Disagree,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Disagree,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Agree,Strongly agree,Disagree,Neutral,Strongly disagree,Neutral,Neutral,Strongly agree
2025/10/13 2:33:24 AM GMT+5,Rameez Siddiq,Female,Coordinator,r42bf7jp,Neutral,Agree,Strongly disagree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Neutral
2025/10/13 2:33:30 AM GMT+5,Taimoor Iqbal,Female,Non Teaching Staff,1bclwu2x,Neutral,Agree,Strongly agree,Neutral,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Strongly disagree,Neutral,Strongly disagree,Agree,Neutral,Neutral,Neutral
2025/10/13 2:33:35 AM GMT+5,Laila Latif,Male,Non Teaching Staff,s341nm22,Neutral,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,Neutral,Agree,Strongly agree,Neutral,Strongly disagree,Disagree,Neutral
2025/10/13 2:33:42 AM GMT+5,Umair Idrees,Female,Teacher,wsv59m1k,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Disagree,Strongly agree
2025/10/13 2:33:48 AM GMT+5,Hassan Raza Warraich,Female,Coordinator,b7pf9j3e,Strongly agree,Disagree,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Strongly disagree,Disagree
2025/10/13 2:33:54 AM GMT+5,Areeba Waqar,Female,Teacher,pgyp1a9d,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Neutral,Strongly disagree,Strongly disagree,Agree,Disagree,Neutral,Disagree,Strongly agree
2025/10/13 2:34:00 AM GMT+5,Arif Sohail,Male,Coordinator,59gzrxpw,Agree,Disagree,Neutral,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree
2025/10/13 2:34:06 AM GMT+5,Eshal Warraich,Male,Non Teaching Staff,1f3xn0i7,Disagree,Disagree,Agree,Strongly disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Neutral
2025/10/13 2:34:12 AM GMT+5,Eshal Farooq,Male,Teacher,5exkr1lj,Disagree,Strongly disagree,Strongly agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral
2025/10/13 2:34:18 AM GMT+5,Hania Saeed,Male,Non Teaching Staff,36a0u1u3,Strongly agree,Neutral,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Disagree,Strongly agree,Strongly disagree,Agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Agree,Strongly agree,Agree,Neutral
2025/10/13 2:34:24 AM GMT+5,Nadia Tufail,Male,Teacher,5r2xx9tx,Strongly agree,Strongly agree,Strongly agree,Disagree,Neutral,Strongly agree,Neutral,Disagree,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Neutral,Agree,Neutral,Strongly disagree,Strongly agree,Neutral,Disagree
2025/10/13 2:34:29 AM GMT+5,Rukhsar Junaidi,Male,Non Teaching Staff,thy6pkdb,Agree,Strongly agree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree
2025/10/13 2:34:35 AM GMT+5,Amber Anwar,Female,Non Teaching Staff,la09f2mj,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Strongly disagree,Agree,Disagree,Disagree,Strongly disagree,Agree,Neutral,Agree,Disagree,Strongly agree
2025/10/13 2:34:41 AM GMT+5,Hassan Raza Bhatti,Male,Non Teaching Staff,o4qwjrf8,Neutral,Agree,Neutral,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Agree,Neutral,Disagree,Strongly disagree,Neutral,Agree,Agree,Agree,Disagree,Strongly disagree,Disagree,Agree
2025/10/13 2:35:41 AM GMT+5,Nimrah Latif,Female,Non Teaching Staff,ok5ni9da,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Neutral,Agree,Agree,Neutral,Strongly disagree,Disagree,Disagree,Strongly agree,Neutral,Neutral,Disagree,Strongly agree,Strongly agree,Agree,Agree,Neutral
2025/10/13 2:35:47 AM GMT+5,Sadaf Qadir,Female,Non Teaching Staff,ham8r3hl,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly agree,Disagree,Agree,Neutral,Strongly disagree,Agree,Disagree,Neutral,Agree,Agree,Agree,Strongly disagree,Disagree,Agree
2025/10/13 2:35:54 AM GMT+5,Amina Saeed,Male,Coordinator,mjaolghu,Strongly disagree,Strongly agree,Agree,Neutral,Strongly disagree,Disagree,Neutral,Strongly disagree,Strongly agree,Agree,Neutral,Agree,Disagree,Strongly agree,Strongly disagree,Disagree,Agree,Agree,Strongly disagree,Disagree
2025/10/13 2:36:00 AM GMT+5,Rehan Dar,Male,Coordinator,tyeb32bf,Agree,Strongly agree,Disagree,Disagree,Agree,Neutral,Disagree,Neutral,Strongly agree,Disagree,Strongly agree,Agree,Strongly disagree,Strongly agree,Neutral,Disagree,Agree,Disagree,Neutral,Neutral
2025/10/13 2:36:07 AM GMT+5,Sania Waseem,Female,Non Teaching Staff,z1a7d0od,Disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Disagree,Agree,Strongly disagree,Neutral,Disagree,Agree,Strongly disagree,Disagree,Strongly disagree
2025/10/13 2:36:13 AM GMT+5,Fiza Khalique,Male,Teacher,c0uj8eem,Disagree,Strongly disagree,Agree,Strongly agree,Neutral,Strongly disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Disagree,Disagree
2025/10/13 2:36:19 AM GMT+5,Hania Shafiq,Female,Coordinator,43prf7n2,Disagree,Strongly disagree,Disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Agree,Agree,Neutral,Disagree,Strongly disagree,Neutral
2025/10/13 2:36:26 AM GMT+5,Muneeb Baig,Male,Teacher,nrh02boa,Disagree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Neutral,Agree,Agree,Agree,Strongly agree,Disagree,Neutral,Strongly agree,Agree,Strongly agree,Strongly disagree,Disagree,Disagree
2025/10/13 2:36:32 AM GMT+5,Arooj Saleem,Male,Teacher,zgquii7e,Agree,Agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree
2025/10/13 2:36:38 AM GMT+5,Daniyal Sohail,Female,Teacher,yw4y17oq,Strongly agree,Disagree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Agree,Neutral,Disagree,Neutral,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Disagree
2025/10/13 2:36:45 AM GMT+5,Tania Dar,Male,Coordinator,2un1xhug,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Neutral,Disagree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Disagree,Neutral,Agree,Strongly disagree,Strongly disagree,Agree
2025/10/13 2:36:52 AM GMT+5,Minal Saeed,Male,Coordinator,lll4q1c3,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Agree,Agree,Neutral,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,Neutral,Strongly disagree,Agree,Agree
2025/10/13 2:36:59 AM GMT+5,Sadia Afzal,Male,Non Teaching Staff,8n9fz226,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Agree
2025/10/13 2:37:05 AM GMT+5,Muneeb Ranjha,Male,Teacher,db4jef0e,Disagree,Strongly agree,Strongly disagree,Disagree,Disagree,Neutral,Strongly disagree,Neutral,Disagree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Neutral,Agree,Strongly disagree,Strongly disagree
2025/10/13 2:37:12 AM GMT+5,Shayan Saeed,Female,Non Teaching Staff,2pzooyi0,Disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Disagree,Agree,Disagree,Strongly agree,Neutral,Strongly disagree,Disagree,Strongly agree,Disagree,Strongly agree,Agree,Agree
2025/10/13 2:37:18 AM GMT+5,Atif Abid,Female,Teacher,i9dtt9m5,Agree,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Disagree,Neutral,Disagree
2025/10/13 2:37:25 AM GMT+5,Taimoor Bhatti,Female,Coordinator,feltf947,Agree,Agree,Strongly disagree,Disagree,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Disagree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Agree,Strongly disagree
2025/10/13 2:37:31 AM GMT+5,Nimrah Farooq,Male,Teacher,rvxniywd,Neutral,Strongly agree,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Strongly agree,Neutral,Neutral,Neutral,Disagree,Disagree,Strongly agree,Neutral,Disagree,Neutral,Disagree,Agree
2025/10/13 2:37:38 AM GMT+5,Nouman Khalique,Male,Coordinator,ol88igs4,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Strongly disagree,Agree,Neutral,Strongly agree,Disagree,Strongly agree,Agree,Neutral,Strongly disagree,Strongly disagree,Strongly agree
2025/10/13 2:37:44 AM GMT+5,Mahira Gill,Female,Coordinator,8bh5y8wa,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Strongly agree,Neutral,Neutral,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Strongly disagree,Agree,Disagree
2025/10/13 2:37:51 AM GMT+5,Tooba Mehmood,Male,Teacher,71t67aiu,Agree,Strongly agree,Agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Disagree,Neutral,Disagree,Strongly disagree,Agree,Disagree,Neutral,Strongly agree,Strongly agree,Strongly agree
2025/10/13 2:37:57 AM GMT+5,Amina Hameed,Male,Teacher,lew812n4,Strongly disagree,Neutral,Strongly disagree,Disagree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Agree,Neutral,Agree,Agree,Strongly agree
2025/10/13 2:38:04 AM GMT+5,Tuba Saeed,Female,Teacher,kocolwz9,Disagree,Disagree,Strongly agree,Disagree,Agree,Disagree,Strongly agree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree
2025/10/13 2:38:10 AM GMT+5,Abrar Warraich,Female,Non Teaching Staff,u4eufe3h,Neutral,Strongly agree,Strongly disagree,Neutral,Disagree,Strongly disagree,Neutral,Neutral,Disagree,Disagree,Strongly agree,Neutral,Neutral,Strongly disagree,Strongly agree,Neutral,Disagree,Agree,Neutral,Disagree
2025/10/13 2:38:17 AM GMT+5,Zeeshan Manzoor,Male,Non Teaching Staff,d2i833aw,Neutral,Disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Disagree,Disagree,Agree,Disagree,Strongly agree,Agree,Neutral,Disagree
2025/10/13 2:38:23 AM GMT+5,Laila Tariq,Male,Non Teaching Staff,ubepxz7l,Strongly agree,Agree,Neutral,Agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Neutral,Neutral,Agree,Strongly agree,Agree,Strongly agree,Disagree,Neutral,Strongly agree,Disagree
2025/10/13 2:38:30 AM GMT+5,Aqsa Khalique,Male,Teacher,55z507ga,Disagree,Agree,Strongly disagree,Neutral,Strongly disagree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Strongly disagree,Disagree,Strongly agree,Neutral,Disagree,Strongly disagree,Strongly agree,Neutral,Strongly agree,Disagree
2025/10/13 2:38:36 AM GMT+5,Murtaza Siddiq,Male,Coordinator,muwzsaxe,Agree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Neutral,Agree,Neutral,Disagree,Strongly disagree,Disagree,Neutral,Neutral,Strongly agree,Neutral,Strongly disagree
2025/10/13 2:38:43 AM GMT+5,Zeeshan Dar,Male,Coordinator,ydphsbfg,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Disagree,Disagree,Agree,Neutral,Strongly disagree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree
2025/10/13 2:38:49 AM GMT+5,Nimrah Cheema,Male,Coordinator,i1btn5q6,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Disagree,Strongly agree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Neutral,Agree,Disagree,Agree
2025/10/13 2:38:56 AM GMT+5,Minal Junaidi,Male,Teacher,bzdgispr,Strongly agree,Strongly disagree,Neutral,Strongly agree,Strongly disagree,Disagree,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Strongly disagree,Strongly disagree
2025/10/13 2:39:02 AM GMT+5,Nimrah Khalique,Female,Teacher,ak3qrlna,Strongly disagree,Neutral,Agree,Strongly agree,Agree,Disagree,Disagree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Disagree,Strongly agree,Neutral,Neutral,Disagree,Strongly disagree
2025/10/13 2:39:09 AM GMT+5,Laila Qadir,Female,Teacher,ikgwwnk7,Agree,Strongly disagree,Neutral,Neutral,Strongly agree,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Strongly disagree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly disagree,Strongly agree
2025/10/13 2:39:15 AM GMT+5,Sania Warraich,Male,Teacher,tdwc9e0p,Disagree,Agree,Agree,Disagree,Neutral,Agree,Agree,Strongly agree,Neutral,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral
2025/10/13 2:39:21 AM GMT+5,Rameez Dar,Male,Non Teaching Staff,7bvf1yao,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Strongly disagree
2025/10/13 2:39:28 AM GMT+5,Sadia Waqar,Male,Non Teaching Staff,x9myvw4u,Neutral,Strongly disagree,Strongly agree,Agree,Neutral,Strongly disagree,Agree,Neutral,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Strongly disagree,Disagree,Strongly disagree
2025/10/13 2:39:34 AM GMT+5,Abrar Awan,Male,Teacher,yhn07d9c,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Disagree,Disagree,Neutral,Neutral,Strongly agree,Agree,Disagree,Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,Disagree,Neutral
2025/10/13 2:39:40 AM GMT+5,Abrar Siddiq,Male,Non Teaching Staff,pk2sxftx,Neutral,Disagree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Disagree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly disagree,Agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly agree
2025/10/13 2:39:47 AM GMT+5,Fiza Afzal,Male,Coordinator,wv83wl11,Disagree,Strongly disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Disagree,Strongly disagree,Neutral,Strongly disagree,Disagree,Neutral,Strongly agree,Agree,Disagree
2025/10/13 2:39:53 AM GMT+5,Zohaib Warraich,Male,Teacher,bobds6pc,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Neutral,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Neutral
2025/10/13 2:39:59 AM GMT+5,Arif Waseem,Female,Coordinator,kj4ku2ey,Agree,Neutral,Strongly disagree,Strongly agree,Neutral,Disagree,Strongly disagree,Agree,Agree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Agree,Neutral,Agree
2025/10/13 2:40:05 AM GMT+5,Nouman Saleem,Male,Coordinator,yik0nwfz,Neutral,Agree,Neutral,Neutral,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Strongly agree,Neutral,Disagree,Agree,Agree,Neutral
2025/10/13 2:40:12 AM GMT+5,Zeeshan Qadir,Female,Teacher,zy5adzr8,Disagree,Agree,Neutral,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Disagree,Strongly agree,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Strongly disagree,Neutral
2025/10/13 2:40:18 AM GMT+5,Rizwan Ejaz,Female,Non Teaching Staff,s1nqu1xh,Agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree
2025/10/13 2:40:24 AM GMT+5,Sumbul Hassan,Male,Non Teaching Staff,w4ewfuqf,Disagree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Neutral,Disagree,Agree,Neutral,Disagree,Strongly disagree,Strongly agree,Neutral,Neutral,Disagree,Strongly disagree,Disagree
2025/10/13 2:40:30 AM GMT+5,Fiza Yasin,Male,Non Teaching Staff,5w3o5uym,Neutral,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Agree,Strongly disagree,Neutral,Strongly agree,Neutral,Strongly agree,Disagree,Neutral,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree
2025/10/13 2:40:36 AM GMT+5,Shayan Hashim,Female,Teacher,g1ldv5v6,Agree,Neutral,Agree,Disagree,Neutral,Strongly agree,Strongly disagree,Neutral,Agree,Strongly agree,Disagree,Disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Disagree,Neutral,Agree,Strongly agree
2025/10/13 2:40:43 AM GMT+5,Asim Qadir,Female,Teacher,0qle4wk7,Neutral,Strongly disagree,Neutral,Neutral,Disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Disagree
2025/10/13 2:40:49 AM GMT+5,Minal Shafiq,Female,Teacher,k7up9az2,Neutral,Agree,Agree,Strongly disagree,Strongly disagree,Neutral,Disagree,Strongly agree,Strongly disagree,Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Agree
2025/10/13 2:40:55 AM GMT+5,Rukhsar Yasin,Male,Non Teaching Staff,z5b3zfb9,Agree,Strongly agree,Disagree,Neutral,Strongly agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Neutral,Disagree,Disagree,Strongly disagree,Disagree,Agree,Strongly agree,Agree,Strongly disagree,Disagree
2025/10/13 2:41:01 AM GMT+5,Umair Tariq,Female,Teacher,5hfp4n9y,Agree,Disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Neutral,Agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Neutral,Neutral,Disagree,Strongly agree,Disagree,Strongly disagree
2025/10/13 2:41:08 AM GMT+5,Rayyan Siddiq,Female,Non Teaching Staff,dm3plpoo,Strongly agree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Neutral,Disagree,Agree,Strongly agree,Disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Agree,Neutral,Disagree
2025/10/13 2:41:14 AM GMT+5,Talha Memon,Female,Teacher,xtyogwpl,Agree,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Disagree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Neutral
2025/10/13 2:41:21 AM GMT+5,Zeeshan Mehmood,Female,Coordinator,qbdugg5f,Strongly agree,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Strongly agree,Agree,Strongly disagree,Neutral,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Neutral,Neutral
2025/10/13 2:41:27 AM GMT+5,Ahtisham Shafiq,Female,Non Teaching Staff,etjlyk1z,Neutral,Neutral,Strongly disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Strongly disagree,Agree,Agree,Strongly disagree,Disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Agree
2025/10/13 2:41:33 AM GMT+5,Murtaza Shafiq,Male,Coordinator,fp36hqj2,Neutral,Strongly agree,Neutral,Neutral,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Agree,Strongly agree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Agree
2025/10/13 2:42:27 AM GMT+5,Rizwan Tariq,Male,Teacher,qo7e17km,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly disagree,Strongly agree,Disagree,Neutral,Strongly agree,Neutral,Agree,Strongly disagree,Agree
2025/10/13 2:42:34 AM GMT+5,Imaan Tariq,Male,Non Teaching Staff,oj6mf8kn,Strongly agree,Strongly agree,Neutral,Strongly disagree,Agree,Agree,Neutral,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral
2025/10/13 2:42:40 AM GMT+5,Sadaf Hashim,Male,Coordinator,pm9qi09b,Strongly agree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree
